pp: None     pu: None     cp: Root       cu: Root       cd: No Description
pp: I81502   pu: I81502   cp: I8150216   cu: I8150216   cd: PERSONAL EQUITY PLANS
pp: I8       pu: I8       cp: I82000     cu: I82        cd: INSURANCE
pp: I82000   pu: I82      cp: I82001     cu: I82001     cd: COMPOSITE INSURANCE
pp: I82000   pu: I82      cp: I82002     cu: I82002     cd: LIFE INSURANCE
pp: I82000   pu: I82      cp: I82003     cu: I82003     cd: NON-LIFE INSURANCE
pp: I82003   pu: I82003   cp: I8200316   cu: I8200316   cd: MOTOR INSURANCE
pp: I82003   pu: I82003   cp: I8200318   cu: I8200318   cd: REINSURANCE
pp: I8       pu: I8       cp: I83100     cu: I831       cd: FINANCIAL SERVICES
pp: I8       pu: I8       cp: I83200     cu: I832       cd: INSURANCE BROKERS AND AGENTS
pp: I8       pu: I8       cp: I83400     cu: I834       cd: REAL ESTATE AGENTS
pp: I8       pu: I8       cp: I83500     cu: I835       cd: LEGAL SERVICES
pp: I8       pu: I8       cp: I83600     cu: I836       cd: ACCOUNTANCY AND AUDITING
pp: I8       pu: I8       cp: I83700     cu: I837       cd: ARCHITECTS, SURVEYORS, ETC
pp: I8       pu: I8       cp: I83800     cu: I838       cd: ADVERTISING AGENCIES
pp: I8       pu: I8       cp: I83940     cu: I8394      cd: COMPUTER SERVICES
pp: I83940   pu: I8394    cp: I8394007   cu: I8394007   cd: COMPUTER MAINTENANCE AND SUPPORT
pp: I8       pu: I8       cp: I83951     cu: I83951     cd: MANAGEMENT CONSULTANTS
pp: I8       pu: I8       cp: I83952     cu: I83952     cd: MARKET RESEARCH AND PUBLIC RELATIONS
pp: I83952   pu: I83952   cp: I8395205   cu: I8395205   cd: PUBLIC RELATIONS CONSULTANTS
pp: I8       pu: I8       cp: I83953     cu: I83953     cd: DOCUMENT COPYING AND DUPLICATING
pp: I8       pu: I8       cp: I83954     cu: I83954     cd: BUSINESS AND MEDIA SERVICES
pp: I83954   pu: I83954   cp: I8395416   cu: I8395416   cd: FINANCIAL AND CREDIT REPORTING
pp: I83954   pu: I83954   cp: I8395419   cu: I8395419   cd: FREE-LANCE JOURNALISTS
pp: I83954   pu: I83954   cp: I8395448   cu: I8395448   cd: SALES PROMOTION
pp: I83954   pu: I83954   cp: I8395449   cu: I8395449   cd: DIRECT MARKETING
pp: I83954   pu: I83954   cp: I8395451   cu: I8395451   cd: MEDIA PLANNING
pp: I8       pu: I8       cp: I83960     cu: I8396      cd: DIVERSIFIED HOLDING COMPANIES
pp: I8       pu: I8       cp: I84000     cu: I84        cd: RENTING AND LEASING EQUIPMENT
pp: I84000   pu: I84      cp: I84100     cu: I841       cd: AGRICULTURAL EQUIPMENT HIRE
pp: I84000   pu: I84      cp: I84200     cu: I842       cd: CONSTRUCTION EQUIPMENT HIRE
pp: I84000   pu: I84      cp: I84300     cu: I843       cd: OFFICE EQUIPMENT HIRE
pp: I84000   pu: I84      cp: I84600     cu: I846       cd: CONSUMER GOODS HIRE
pp: I84000   pu: I84      cp: I84801     cu: I84801     cd: AUTOMOBILE HIRE
pp: I84000   pu: I84      cp: I84802     cu: I84802     cd: LIGHT COMMERCIAL VEHICLE HIRE
pp: I84000   pu: I84      cp: I84803     cu: I84803     cd: COMMERCIAL VEHICLE HIRE
pp: I84000   pu: I84      cp: I84804     cu: I84804     cd: OTHER TRANSPORT EQUIPMENT HIRE
pp: I84804   pu: I84804   cp: I8480401   cu: I8480401   cd: AIRCRAFT HIRING AND LEASING
pp: I84804   pu: I84804   cp: I8480410   cu: I8480410   cd: SHIP HIRING AND LEASING
pp: I8       pu: I8       cp: I85000     cu: I85        cd: REAL ESTATE DEALING
pp: I85000   pu: I85      cp: I8500005   cu: I8500005   cd: INDUSTRIAL REAL ESTATE DEALING
pp: I85000   pu: I85      cp: I8500011   cu: I8500011   cd: RESIDENTIAL REAL ESTATE DEALING
pp: I85000   pu: I85      cp: I8500021   cu: I8500021   cd: COMMERCIAL REAL ESTATE DEALING
pp: I85000   pu: I85      cp: I8500029   cu: I8500029   cd: RETAIL REAL ESTATE DEALING
pp: I85000   pu: I85      cp: I8500031   cu: I8500031   cd: RESIDENTIAL REAL ESTATE BUYING, SELLING
pp: Root     pu: Root     cp: I9         cu: I9         cd: SERVICES AND ENTERTAINMENT
pp: I9       pu: I9       cp: I92110     cu: I9211      cd: REFUSE DISPOSAL
pp: I9       pu: I9       cp: I92120     cu: I9212      cd: SEWAGE DISPOSAL
pp: I9       pu: I9       cp: I92300     cu: I923       cd: CLEANING SERVICES
pp: I9       pu: I9       cp: I95100     cu: I951       cd: HOSPITALS AND HEALTHCARE
pp: I9       pu: I9       cp: I97100     cu: I971       cd: FILM PRODUCTION AND DISTRIBUTION
pp: I9       pu: I9       cp: I97400     cu: I974       cd: TELEVISION AND RADIO
pp: I97400   pu: I974     cp: I9741102   cu: I9741102   cd: TELEVISION BROADCASTING
pp: I97400   pu: I974     cp: I9741105   cu: I9741105   cd: RADIO BROADCASTING
pp: I97400   pu: I974     cp: I9741109   cu: I9741109   cd: CABLE TELEVISION
pp: I97400   pu: I974     cp: I9741110   cu: I9741110   cd: SATELLITE TELEVISION
pp: I97400   pu: I974     cp: I9741112   cu: I9741112   cd: TELEVISION PROGRAMME PRODUCTION
pp: I97400   pu: I974     cp: I97412     cu: I97412     cd: THEATRES AND LIVE ENTERTAINMENT VENUES
pp: I9       pu: I9       cp: I97911     cu: I97911     cd: SPORTING FACILITIES AND VENUES
pp: I9       pu: I9       cp: I97912     cu: I97912     cd: BETTING AND GAMBLING
pp: I9       pu: I9       cp: I98100     cu: I981       cd: LAUNDRIES AND DRY CLEANERS
